sample_date,approved_site_name,latitude,longitude,location_filter,disease_present,pisaster_ochraceus,pycnopodia_helianthoides,pisaster_giganteus,pisaster_brevispinus,evasterias,patiria,strongylocentrotus_purpuratus,species_no_disease_evident,species_disease_evident,name,affiliation,add_to_map
2015-05-19,Pescadero Point,36.56109,-121.95436,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,no,no,Henricia spp.; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Melissa Redfield,MARINe (UCSC),yes
2016-05-09,Pescadero Point,36.56109,-121.95436,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,no,no,Henricia spp.; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Nate Fletcher,MARINe (UCSC),yes
2017-05-29,Pescadero Point,36.56109,-121.95436,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,no,no,Henricia spp.; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Maya George,MARINe (UCSC),yes
2014-02-21,Pescadero ST,36.559275,-121.95499,subtidal,yes,yes,no,no,species not observed,species not observed,species not observed,species not observed,Henricia spp; Leptasterias spp; Mediaster aequalis,Dermasterias imbricata,,UCSC,yes
2014-05-08,Pescadero ST,36.559275,-121.95499,subtidal,no,species not observed,species not observed,no,species not observed,species not observed,no,species not observed,Henricia spp.; Leptasterias spp.; Dermasterias imbricata,NONE (no additional sea stars observed showing disease symptoms),Tristin McHugh,University of California Santa Cruz,yes
2014-08-13,China Poot,59.572317,-151.30182,intertidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,Leptasterias spp.,NONE (no additional sea stars observed showing disease symptoms),Katie Gavenus,Center for Alaskan Coastal Studies,yes
2015-01-20,China Poot,59.572317,-151.30182,intertidal,yes,species not observed,no,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2015-05-23,China Poot,59.572317,-151.30182,intertidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata; Leptasterias spp.; Orthasterias koehleri;,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2014-08-13,China Poot ST,59.571855,-151.30236,subtidal,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata,NONE (no additional sea stars observed showing disease symptoms),Katie Gavenus,Center for Alaskan Coastal Studies,yes
2015-01-20,China Poot ST,59.571855,-151.30236,subtidal,yes,species not observed,yes,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2015-05-23,China Poot ST,59.571855,-151.30236,subtidal,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2014-08-13,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,Leptasterias spp.,NONE (no additional sea stars observed showing disease symptoms),Katie Gavenus,Center for Alaskan Coastal Studies,yes
2015-01-21,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2015-05-08,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2015-07-20,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2016-02-11,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Seth Spencer,Center for Alaskan Coastal Studies,yes
2016-05-06,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,Leptasterias spp,NONE,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2016-05-07,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Seth Spencer,Center for Alaskan Coastal Studies,yes
2016-09-15,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2017-06-29,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavanus,Center for Alaskan Coastal Studies,yes
2017-08-09,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2017-09-17,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2017-11-07,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Seth Spencer,Center for Alaskan Coastal Studies,yes
2018-07-27,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE,NONE,Seth Spencer; Katie Gavenus,Center for Alaskan Coastal Studies,yes
2018-09-12,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE,NONE,Seth Spencer; Katie Gavenus,Center for Alaskan Coastal Studies,yes
2018-11-06,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE,NONE,Seth Spencer; Katie Gavenus,Center for Alaskan Coastal Studies,yes
2019-02-17,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Seth Spencer,Center for Alaskan Coastal Studies,yes
2019-06-19,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE,NONE,Seth Spencer; Katie Gavenus,Center for Alaskan Coastal Studies,yes
2019-09-01,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE,NONE,Seth Spencer; Katie Gavenus,Center for Alaskan Coastal Studies,yes
2020-06-23,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE,NONE,Seth Spencer; Katie Gavenus,Center for Alaskan Coastal Studies,yes
2020-08-19,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE,NONE,Seth Spencer; Katie Gavenus,Center for Alaskan Coastal Studies,yes
2020-09-19,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE,NONE,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2021-04-28,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,Leptasterias spp,NONE,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2021-06-22,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,species not observed,NONE,NONE,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2021-10-06,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,Leptasterias spp,NONE,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2015-09-30,Peterson Bay Lagoon,59.5745,-151.29515,intertidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Seth Spencer,Center for Alaskan Coastal Studies,yes
2014-07-28,Otter Rock; Peterson Bay,59.579533,-151.29602,intertidal,yes,species not observed,no,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Katie Gavenus,Center for Alaskan Coastal Studies,yes
2015-01-21,Otter Rock; Peterson Bay,59.579533,-151.29602,intertidal,yes,species not observed,no,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata; Solaster spp.;,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2015-05-09,Otter Rock; Peterson Bay,59.579533,-151.29602,intertidal,yes,species not observed,no,species not observed,species not observed,yes,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2015-01-21,Otter Rock; Peterson Bay ST,59.579583,-151.2951,subtidal,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata; Henricia spp.;,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2015-05-09,Otter Rock; Peterson Bay ST,59.579583,-151.2951,subtidal,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2014-07-28,Otter Rock; Peterson Bay ST,59.579583,-151.2951,subtidal,yes,species not observed,yes,species not observed,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata,NONE (no additional sea stars observed showing disease symptoms),Katie Gavenus,Center for Alaskan Coastal Studies,yes
2016-09-16,Otter Rock; Peterson Bay ST,59.579583,-151.2951,subtidal,yes,species not observed,species not observed,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Katie Gavenus,Center for Alaskan Coastal Studies,yes
2017-01-30,Otter Rock; Peterson Bay ST,59.579583,-151.2951,subtidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata; Henricia spp.;,NONE (no additional sea stars observed showing disease symptoms);,Seth Spencer,Center for Alaskan Coastal Studies,yes
2019-02-19,Petroglyph Beach,56.4826,-132.3956,intertidal,no,no,no,species not observed,species not observed,no,species not observed,no,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Brian Lea,,yes
2013-12-31,Phillips Gulch,38.5858523,-123.34147,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),,UCSC (Ocean Science Trust),yes
2020-07-08,Phillips Gulch,38.5858523,-123.34147,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,NONE,NONE,NULL,MARINe (UCSC),yes
2014-01-29,San Nicolas Island; Corral Harbor; Phoca Reef,33.276967,-119.51462,intertidal,no,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),John Ugoretz (1); Derek Stein (2),US Navy (1); CA Dept. of Fish and Wildlife,yes
2015-04-19,Piedras Blancas,35.6656771,-121.28653,intertidal,yes,yes,no,species not observed,species not observed,species not observed,no,no,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Melissa Redfield,MARINe (UCSC),yes
2013-11-04,Piedras Blancas,35.6656771,-121.28653,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,no,species not observed,Leptasterias spp,NONE (no additional sea stars observed showing disease symptoms),,MARINe (UCSC),yes
2014-04-20,Piedras Blancas,35.6656771,-121.28653,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),,MARINe (UCSC),yes
2014-11-22,Piedras Blancas,35.6656771,-121.28653,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,no,species not observed,Leptasterias spp,NONE,NULL,MARINe (UCSC),yes
2014-11-23,Piedras Blancas,35.6656771,-121.28653,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,no,species not observed,Leptasterias spp.; ,NONE (no additional sea stars observed showing disease symptoms); ,Laura Anderson,MARINe (UCSC),yes
2016-04-10,Piedras Blancas,35.6656771,-121.28653,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,no,no,Henricia spp.; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Melissa Redfield,MARINe (UCSC),yes
2016-10-17,Piedras Blancas,35.6656771,-121.28653,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,no,no,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Melissa Douglas,MARINe (UCSC),yes
2016-12-13,Piedras Blancas,35.6656771,-121.28653,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,no,no,Henricia spp.; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Laura Anderson,MARINe (UCSC),yes
2017-03-09,Piedras Blancas,35.6656771,-121.28653,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,no,no,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Melissa Douglas,MARINe (UCSC),yes
2017-11-03,Piedras Blancas,35.6656771,-121.28653,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,Henricia spp; Leptasterias spp,NONE,NULL,MARINe (UCSC),yes
2019-10-29,Piedras Blancas,35.6656771,-121.28653,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,Leptasterias spp,NONE,NULL,MARINe (UCSC),yes
2020-10-18,Piedras Blancas,35.6656771,-121.28653,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,NONE,NONE,NULL,MARINe (UCSC),yes
2021-02-24,Piedras Blancas,35.6656771,-121.28653,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Leptasterias spp,NONE,NULL,MARINe (UCSC),yes
2021-07-26,Piedras Blancas,35.6656771,-121.28653,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Leptasterias spp,NONE,NULL,MARINe (UCSC),yes
2022-11-08,Piedras Blancas,35.6656771,-121.28653,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Leptasterias spp,NONE,NULL,MARINe,yes
2015-10-27,Piedras Blancas,35.6656771,-121.28653,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,no,Henricia spp.; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Laura Anderson,MARINe (UCSC),yes
2013-10-17,Pigeon Point,37.1851209,-122.39727,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,no,species not observed,Leptasterias spp,NONE (no additional sea stars observed showing disease symptoms),,MARINe (UCSC),yes
2013-11-15,Pigeon Point,37.1851209,-122.39727,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,no,species not observed,Henricia spp,Leptasterias spp,,MARINe (UCSC),yes
2014-05-30,Pigeon Point,37.1851209,-122.39727,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,no,species not observed,Henricia spp.; Leptasterias spp.,NONE (no additional sea stars observed showing disease symptoms),,MARINe (UCSC),yes
2016-10-14,Pigeon Point,37.1851209,-122.39727,intertidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Maya George,MARINe (UCSC),yes
2016-11-30,Pigeon Point,37.1851209,-122.39727,intertidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Melissa Douglas,MARINe (UCSC),yes
2017-05-27,Pigeon Point,37.1851209,-122.39727,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,no,no,Henricia spp.; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Maya George,MARINe (UCSC),yes
2017-10-18,Pigeon Point,37.1851209,-122.39727,intertidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,no,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Melissa Douglas,MARINe (UCSC),yes
2019-06-03,Pigeon Point,37.1851209,-122.39727,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,no,no,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Alexis Necarsulmer,MARINe (UCSC),yes
2020-05-23,Pigeon Point,37.1851209,-122.39727,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,no,no,Dermasterias imbricata; Henricia spp.; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Mirella Cortez,MARINe (UCSC),yes
2023-05-09,Pigeon Point,37.1851209,-122.39727,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,no,no,Henricia spp.; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Lexi Necarsulmer,MARINe (UCSC),yes
2019-10-16,Pilkey Point; Thetis Island,49.03,-123.65,subtidal,yes,species not observed,no,species not observed,no,yes,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Andy Lamb,,yes
2022-06-28,Pilkey Point; Thetis Island,49.03,-123.65,subtidal,no,no,no,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Andy Lamb,NULL,yes
2023-05-20,Pilkey Point; Thetis Island,49.03,-123.65,subtidal,no,no,no,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata; Mediaster aequalis,NONE (no additional sea stars observed showing disease symptoms);,Andy Lamb,NULL,yes
2020-05-19,Pilkey Point; Thetis Island,49.03,-123.65,subtidal,no,no,no,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Andy Lamb,,yes
2013-10-17,Pillar Point,37.4945,-122.49922,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,no,species not observed,Dermasterias imbricata,NONE (no additional sea stars observed showing disease symptoms),Abby Nickels,LiMPETS,yes
2013-11-02,Pillar Point,37.4945,-122.49922,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Amy Dean and Abby Nickels,LiMPETS,yes
2014-02-25,Pillar Point,37.4945,-122.49922,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,no,species not observed,Dermasterias imbricata; Henricia spp.; Leptasterias spp.,NONE (no additional sea stars observed showing disease symptoms),,MARINe (UCSC),yes
2014-07-13,Pillar Point,37.4945,-122.49922,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Leptasterias spp.,NONE (no additional sea stars observed showing disease symptoms),Abby Nickels,Long-term Monitoring Program and Experiential Training for Students,yes
2014-11-08,Pillar Point,37.4945,-122.49922,intertidal,no,species not observed,species not observed,no,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata; Henricia spp.,NONE (no additional sea stars observed showing disease symptoms),Ivan Parr,The Wildlife Society,yes
2015-01-21,Pillar Point,37.4945,-122.49922,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,no,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Melissa Redfield,MARINe (UCSC),yes
2015-03-15,Pillar Point,37.4945,-122.49922,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Abby Nickels,Farallones Marine Sanctuary Association,yes
2015-10-26,Pillar Point,37.4945,-122.49922,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata; Henricia spp.; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Ron Wolf,,yes
2013-07-15,Pillar Point ST,37.500285,-122.50508,subtidal,yes,species not observed,yes,species not observed,species not observed,species not observed,no,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),Pisaster spp,Laura Rogers-Bennett,,yes
2013-09-10,Pillar Point ST,37.500285,-122.50508,subtidal,yes,species not observed,species not observed,species not observed,yes,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Jessie Altstatt,MARINe,yes
2023-01-20,Pillar Point,37.4945,-122.49922,intertidal,yes,yes,species not observed,species not observed,species not observed,species not observed,no,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Max Weintraub,NULL,yes
2015-01-18,Pillar Point,37.4945,-122.49922,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,no,no,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Ivan Parr,,yes
2016-01-31,Pinnacle,47.708357,-122.87504,subtidal,no,species not observed,species not observed,species not observed,no,no,species not observed,species not observed,Henricia spp.; Stylasterias forreri,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,,yes
2022-12-06,Pine Beach,39.392376,-123.819746,subtidal,yes,no,no,no,no,species not observed,no,yes,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Grant Downie,NULL,yes
2021-05-11,Pinnacle,47.708357,-122.87504,subtidal,no,species not observed,no,species not observed,no,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Frederick Batson,NULL,yes
2021-07-05,Pinnacle,47.708357,-122.87504,subtidal,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Frederick Batson,NULL,yes
2021-08-21,Pinnacle,47.708357,-122.87504,subtidal,no,species not observed,no,species not observed,no,no,species not observed,species not observed,Dermasterias imbricata; Henricia spp.; Pteraster tesselatus; Mediaster aequalis; Stylasterias forreri,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,NULL,yes
2022-09-24,Pinnacle,47.708357,-122.87504,subtidal,no,species not observed,no,species not observed,no,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Frederick Batson,NULL,yes
2023-09-30,Pinnacle,47.708357,-122.87504,subtidal,no,species not observed,no,species not observed,species not observed,no,species not observed,species not observed,Henricia spp.; Pteraster tesselatus; Mediaster aequalis; Stylasterias forreri,NONE (no additional sea stars observed showing disease symptoms);,Mark Nayer,NULL,yes
2013-12-29,Pinnacle Gulch,38.30664,-123.01878,intertidal,yes,species not observed,species not observed,species not observed,species not observed,species not observed,yes,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Jeffrey Zankel,BML,yes
2014-06-10,Pinnacle Gulch,38.30664,-123.01878,intertidal,yes,species not observed,species not observed,species not observed,species not observed,species not observed,yes,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Amy Little,,yes
2014-07-13,Pinnacle Gulch,38.30664,-123.01878,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Amy Little,Resident,yes
2022-03-17,Pipers Lagoon,49.227422,-123.952104,intertidal,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,Dermasterias imbricata;,Ethan Kludash,NULL,yes
2016-08-03,Pirates Cove,56.9866132,-135.37755,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata;,NONE (no additional sea stars observed showing disease symptoms);,Laura Anderson,MARINe (UCSC),yes
2017-08-21,Pirates Cove,56.9866132,-135.37755,intertidal,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata; Henricia spp.; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Melissa Miner,MARINe (UCSC),yes
2014-09-10,Pirates Cove,56.9866132,-135.37755,intertidal,yes,no,no,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata,Leptasterias spp.,Melissa Miner,MARINe (UCSC),yes
2013-08-20,Pirates Cove,56.9866132,-135.37755,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),,MARINe,yes
2018-08-12,Pirates Cove,56.9866132,-135.37755,intertidal,yes,no,species not observed,species not observed,species not observed,yes,species not observed,species not observed,NONE,Leptasterias spp,,MARINe (UCSC),yes
2019-08-31,Pirates Cove,56.9866132,-135.37755,intertidal,yes,yes,species not observed,species not observed,species not observed,yes,species not observed,species not observed,Dermasterias imbricata,NONE,NULL,MARINe (UCSC),yes
2020-08-18,Pirates Cove,56.9866132,-135.37755,intertidal,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata; Leptasterias spp,NONE,NULL,MARINe (UCSC),yes
2022-08-27,Pirates Cove,56.9866132,-135.37755,intertidal,no,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata; Leptasterias spp,NONE,NULL,MARINe (UCSC),yes
2023-09-02,Pirates Cove,56.9866132,-135.37755,intertidal,yes,no,species not observed,species not observed,species not observed,no,species not observed,species not observed,Dermasterias imbricata,Leptasterias spp,NULL,MARINe,yes
2013-10-25,Pismo Beach,35.105362,-120.63194,subtidal,no,no,species not observed,no,species not observed,species not observed,no,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Dan Schwartz,Reef Check California,yes
2013-11-12,Platform A,34.331886,-119.61247,subtidal,no,species not observed,species not observed,species not observed,species not observed,species not observed,no,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Ann Scarborough Bull,Bureau of Ocean Energy Management,yes
