sample_date,approved_site_name,latitude,longitude,location_filter,disease_present,pisaster_ochraceus,pycnopodia_helianthoides,pisaster_giganteus,pisaster_brevispinus,evasterias,patiria,strongylocentrotus_purpuratus,species_no_disease_evident,species_disease_evident,name,affiliation,add_to_map
2013-11-26,Agate Beach,41.140772,-124.14777,sandy beach,yes,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Dermasterias imbricata,NONE (no additional sea stars observed showing disease symptoms),Steve Simmons,Redwood Parks Association,yes
2015-05-18,Outer Bay; Lopez Island,48.4312109,-122.87962,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Henricia spp.; Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Jill Rain,,yes
2018-08-08,Alberto Islands,55.537412,-133.182272,subtidal,yes,yes,yes,species not observed,no,yes,no,species not observed,Dermasterias imbricata; Henricia spp.;,NONE (no additional sea stars observed showing disease symptoms);,Ashley Bolwerk,University of Alaska Fairbanks; Eckert Lab; APECS project,yes
2020-11-13,Alcatraz,37.8252552,-122.42208,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,NULL,MARINe (UCSC),yes
2022-11-22,Alcatraz,37.8252552,-122.42208,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,NULL,MARINe,yes
2013-12-03,Alder Creek Landslide,35.856259,-121.41371,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,no,species not observed,Leptasterias spp,NONE (no additional sea stars observed showing disease symptoms),,MARINe (UCSC),yes
2015-01-20,Alder Creek Landslide,35.856259,-121.41371,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,no,Leptasterias spp.;,NONE (no additional sea stars observed showing disease symptoms);,Melissa Redfield,MARINe (UCSC),yes
2016-12-12,Alder Creek; Duxbury,37.8974255,-122.71069,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,Henricia spp.;,NONE (no additional sea stars observed showing disease symptoms);,Monica Moritsch,UCSC,yes
2020-06-06,Point Whitehorn County Park,48.883217,-122.78183,intertidal,yes,yes,species not observed,species not observed,species not observed,no,no,no,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Michael Kyte,,yes
2015-06-06,Aleck Bay; Lopez Island,48.42819,-122.86122,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Jill Rain,,yes
2014-07-14,Aleck Bay; Lopez Island,48.42819,-122.86122,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Jill Rain,NULL,yes
2013-12-02,Alegria,34.467137,-120.27818,intertidal,high,yes,no,species not observed,no,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing disease symptoms),Steve Lee,MARINe (UCLA),yes
2014-02-26,Alegria,34.467137,-120.27818,intertidal,high,yes,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms),NONE (no additional sea stars observed showing NO disease symptoms),,MARINe (UCLA),yes
2014-12-06,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,,MARINe (UCSC),yes
2015-01-22,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,NULL,MARINe (UCSC),yes
2015-03-19,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,NONE,NONE,NULL,MARINe (UCSC),yes
2015-05-22,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,NULL,MARINe (UCSC),yes
2015-12-09,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Melissa Redfield,MARINe (UCSC),yes
2016-02-20,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Melissa Redfield,MARINe (UCSC),yes
2016-03-10,Alegria,34.467137,-120.27818,intertidal,yes,no,species not observed,species not observed,species not observed,species not observed,yes,species not observed,NONE,NONE,NULL,MARINe (UCSC),yes
2016-05-23,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,NULL,MARINe (UCSC),yes
2017-05-29,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,NULL,MARINe (UCSC),yes
2017-12-04,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,,MARINe (UCLA),yes
2018-02-26,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE,NONE,,MARINe (UCSC),yes
2018-12-07,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,no,species not observed,species not observed,species not observed,species not observed,NONE,NONE,NULL,MARINe (UCSC),yes
2019-07-05,Alegria,34.467137,-120.27818,intertidal,no,no,species not observed,species not observed,species not observed,species not observed,species not observed,species not observed,NONE (no additional sea stars observed showing NO disease symptoms);,NONE (no additional sea stars observed showing disease symptoms);,Nina Evans,MARINe (UCSC),yes
